,Issue,Neglected_perc_YES,Heard_of_perc_YES
85,Cascading Negative Social Tipping Dynamics driven by ecological destabilisation,64.28571428571429,89.28571428571429
86,Nuclear Risks,32.142857142857146,100.0
87,Can degrading soil microbiome cause regime shifts in soils?,89.28571428571429,39.285714285714285
88,Climate tipping point interactions substantially worsen climate impacts,53.57142857142857,100.0
89,Geoengineering to prevent climate tipping points increases tail risk of termination shock,82.14285714285714,78.57142857142857
90,Automatization,35.714285714285715,85.71428571428571
91,Rapid West Antarctic ice sheet collapse + meltwater pulse,46.42857142857143,85.71428571428571
92,Rising great power tensions as a catalyst for catastrophic and existential technological threats,35.714285714285715,92.85714285714286
93,A new economic system starts in China,60.71428571428571,17.857142857142858
94,Psychographics (Dual Characteristics),50.0,64.28571428571429
95,Favorable trend: Growing appreciation that island nations could be refuges for human survival after global catastrophes ,71.42857142857143,42.857142857142854
