Issue,Issue_cat,Mean_score,Median_rank,Final_rank,Ajay Gambhir,Rank_0,Christian Folberth,Rank_1,Constantin Arnscheidt,Rank_2,Daniel Hoyer,Rank_3,David Manheim,Rank_4,Divya Pandey,Rank_5,Emad Kiyaei,Rank_6,Florian Ulrich Jehn,Rank_7,Hiromi Yamashita,Rank_8,Katie Heikkinen,Rank_9,Kolfinna Tomasdottir,Rank_10,Luke Kemp,Rank_11,Mark Workman,Rank_12,Matt Boyd,Rank_13,Matthijs Maas,Rank_14,Michael Hinge,Rank_15,Nick Wilson,Rank_16,Nico Wunderling,Rank_17,Ortwin Renn,Rank_18,Pat Keys,Rank_19,Paul Larcey,Rank_20,Roger Cremades,Rank_21,Steven Lade,Rank_22,Tom Hobson,Rank_23,Tom Pegram,Rank_24,Victor Galaz,Rank_25,Viktoria Spaiser,Rank_26,Saskia Werners,Rank_27
A Tipping Point in Novel Entities,Climate Environment & Ecology,532.9642857,37.5,16,342,79,578,60,426,21,602,42,583,52.5,454,72.5,550,43,729,20,502,12,509,49,548,92,911,2,420,70.5,166,65,703,6,200,28.5,250,33,291,64,750,30.5,180,86,450,79.5,59,83,899,10,760,28,925,7,540,30,896,19.5,700,32.5
Unclear future of the ocean carbon sink and heat uptake,Climate Environment & Ecology,617.2142857,37.5,16,649,42,847,26,120,88,890,16.5,373,74,600,47,898,4,554,49,822,2,692,31,851,35,253,70,669,12,347,50,470,40,450,5.5,125,52.5,634,17.5,650,43,900,1,540,71.5,700,40,333,64,801,13,880,16,700,7.5,920,14.5,614,41
Political radicalisation & polarisation driven by ecological destabilisation and mitigation policies that disregard equity,Society,555.7142857,37.75,18,745,26,756,45,325,62,927,9,128,90,660,37.5,610,34,803,7,291,56,965,4,834,38,336,55,312,85.5,461,37,189,74,30,87,310,24,294,63,920,2,720,14,500,74.5,650,49,329,65,745,31,500,57.5,600,17.5,970,5,650,35.5
Displacement driven by ecological destabilisation and lack of managed relocation policies merged with Cascading Negative Social Tipping Dynamics driven by ecological destabilisation,Society,580.9321429,38,19,766,21,609,59,371,49,780,28,420.1,71,645,44,700,20,771,10,350,40,778,22,610,85,370,52,680,10,537,28,222,71.5,60,79,165,43.5,606,20,880,9,599,41.5,780,36,430,63,756,31,781,20,470,67,680,12,850,31,600,46
Extreme positive feedback on global through stratocumulus cloud break up is not reversible through solar geoengineering,Climate Environment & Ecology,555.6071429,39,20,99,96,504,68,401,28,888,20,937,4,345,93,300,80,753,13,496,15,690,32,619,82,879,8,600,28,87,80,555,26.5,130,49,85,65.5,481,46,300,77.5,488,61.5,660,55,998,2,900,9,770,24.5,870,17,200,70.5,987,2,535,58
Geoengineering to prevent climate tipping points increases tail risk of termination shock,Climate Environment & Ecology,549.3928571,40.5,21,665,38,784,41,390,39,703,34,649,44,400,84,500,50,405,59.5,405,27,717,28,733,54,853,11,550,39,100,75.5,643,18,200,28.5,275,28,498,41,200,82.5,599,41.5,610,62.5,957,10,677,40,510,65,900,13,300,61,880,24,280,89.5
A New Limits to Growth: Overacceleration due to AI,AI,546.5357143,41.5,22,800,16,459,73,540,11,500,52,845,15,800,6,892,10,367,64.5,297,55,508,50,925,7,882,7,501,49,205,63.5,580,23,290,15,165,43.5,509,37,140,88.5,801,5,900,11,952,11,50,89,500,70,655,43,23,76,768,40,449,76.5
"ICT infrastructure failures, supply chains, and food security",Government & Politics,508.5,41.5,22,778,20,813,35.5,397,32,208,71.5,545,56,765,16.5,263,81,742,18,156,88,276,66,640,75,545,36,605,22,590,20,311,64,140,45.5,20,89,603,21.5,650,43,700,23,880,22.5,4,95,911,5,530,57,662,40,470,34.5,634,54,400,79.5
A crisis in sensemaking,Epistemics,490.8571429,43.75,24,701,29,893,9,600,8,16,86,739,32,404,81,315,77,327,73,369,32,960,5,904,22,203,77.5,402,74.5,508,32,115,80,80,69.5,255,32,699,14,700,34.5,701,21.5,450,79.5,380,66.5,213,72,100,91,622,52,450,41.5,754,46,884,2
Emerging technologies and geopolitical instability,Systemic Risk,521.3928571,43.75,24,911,5,880,15,230,76,222,69.5,724,35,654,42,645,28,467,54,311,45,397,55,927,5,300,67,504,48,750,6,541,31,350,10.5,200,37.5,489,42.5,300,77.5,498,60,900,11,950,12,588,47,150,89,911,9,3,91.5,267,84,530,60
Unilateral Deployment of Solar Radiation Management,Climate Environment & Ecology,546.8928571,44.25,26,710,28,615,58,412,23,800,24,661,43,541,61,455,55.5,557,46.5,504,11,726,25,653,71,800,15.5,571,33,115,71,220,73,140,45.5,95,61.5,630,19,780,26.5,299,79,470,78,350,70,769,27.5,815,5,897,14,300,61,843,32,585,51
Artificial Intelligence and Truth Decay merged with Collapse of Truth,Epistemics,509.3214286,46,27,375,76,846,27,580,9,50,81,587,51,700,21,655,26,619,36,218,73,956,7,890,28,204,76,757,5,515,30,93,85,140,45.5,145,46.5,701,12,850,16,400,69,640,59.5,700,40,444,58,180,88,375,80,400,48.5,460,72,781,12
Loss of primary productivity,Climate Environment & Ecology,515.5392857,46,27,764,22,834,29,190,80,723,31.5,907.1,9,588,51,230,87,641,31,486,16,667,34,624,79,471,43,671,11,335,51,577,24,150,42.5,70,70.5,150,83,460,57.5,531,49,630,61,400,64.5,357,61,803,12,760,29,5,85,931,12,480,72
Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise merged with weakening of the AMOC,Climate Environment & Ecology,517.1321429,46.25,29,598,46,864,22.5,250,73,888,20,230.7,86,556,54.5,625,31,339,70,164,86,658,35,620,81,302,65.5,602,25.5,222,59,499,36,220,22.5,145,46.5,149,84,600,50,702,20,610,62.5,987,8,77,85,769,26,858,19,400,48.5,941,11,604,43
Societal Tipping points as the main mechanism for societal collapse,Society,498.1107143,48.5,30,695,32,743,46,354,51,788,26.5,450.1,69,545,60,560,41,724,21,288,57.5,792,20,735,52,310,61,580,30,105,73,368,57,170,38.5,600,9,524,33,750,30.5,378,71.5,840,31,17,90,10,96,519,63,673,37,3,91.5,900,17,526,61
The expectation of solar radiation management destroys decarbonisation incentives,Climate Environment & Ecology,486.8928571,49,31,667,37,774,42,170,82,622,40,573,54,442,79,111,95,153,86.5,539,9,715,29,625,78,419,47,572,31.5,61,84,317,62.5,70,74.5,45,80,535,30,600,50,570,45,400,84,996,3.5,565,48,650,45,475,66,270,64.5,895,21,802,6.5
Collapse of economic growth,Economics,454.325,51,32,150,91,856,25,700,4,532,48,623.1,46,800,6,220,90,108,88,201,78,180,76,734,53,807,13.5,394,77,135,67,75,90,130,49,185,40,592,25,500,54,281,81,880,22.5,300,73.5,559,49,690,41,437,72,200,70.5,732,47,720,21
Use of inadequate tools for climate risk assessment and adaptation,Climate Environment & Ecology,497.4642857,51,32,395,75,859,24,318,64,158,76,583,52.5,550,58.5,232,86,246,78,342,41,689,33,750,49,867,9,700,8.5,399,45,414,50,140,45.5,270,29.5,277,69,300,77.5,404,68,590,68,897,17,267,68,523,61,700,33,690,11,789,36,580,52
State Capacity Deficits,Government & Politics,478.0714286,51.5,34,652,40,541,65,290,70,923,11,606,50,800,6,400,65,743,16.5,379,30,200,71,612,83,364,53,801,4,606,17,50,93,30,87,205,36,489,42.5,900,5.5,724,12,750,40.5,9,93,69,87,490,71,230,90,450,41.5,523,60,550,57
Combination of natural and technological disasters,Systemic Risk,476.8928571,52,35,812,14,625,56,200,79,776,29,304,83,474,67.5,465,54,647,29,476,17,127,82,895,26,333,57,492,57,43,86,399,51,40,84,175,41.5,424,53,680,36.5,198,85,720,45.5,220,77,266,69,795,17,623,51,490,33,946,8,708,25
Catastrophic impacts from satellite megaconstellations merged with Kessler syndrome in low earth orbit disrupts communication and spacefaring technology,Space,493.4642857,56.5,36,398,73.5,411,76,150,84,280,64,917,7,443,77.5,630,30,561,44.5,499,14,510,48,694,63,889,5,320,83,64,83,730,4,100,63.5,295,26,59,91,300,77.5,519,52,640,59.5,502,54,890,13,526,59,650,44,230,68,890,22,720,21
Change to a superrotating state of the atmosphere,Climate Environment & Ecology,454.4285714,61.5,37,490,59,485,70,40,95,5,93.5,750,29,445,75,540,44,555,48,267,62,650,37,621,80,779,21,821,1,50,85,677,13.5,70,74.5,65,73,109,87,180,84.5,1,96,250,93,810,26,749,32,520,62,735,31,300,61,960,7,800,8.5
