Issue,Issue_cat,Mean_score,Median_rank,Final_rank,Florian Ulrich Jehn,rank,Nico Wunderling,rank,Mark Workman,rank,David McKay,rank,Roger Cremades,rank,Hiromi Yamashita,rank,Viktoria Spaiser,rank,Tom Pegram,rank,Michael Hinge,rank,Emad Kiyaei,rank,Luke Kemp,rank,Christian Folberth,rank,Constantin Arnscheidt,rank,Divya Pandey,rank,Kolfinna Tomasdottir,rank,Ajay Gambhir,rank,Saskia Werners,rank,Paul Larcey,rank
Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise merged with weakening of the AMOC,Climate Environment & Ecology,464.3333333,23,23,337,31,150,32,400,25,750,1,1,33,680,8,695,11,695,15,159,26,444,19,345,24,411,22,305,27,499,25,305,33,545,16,858,7,779,19
Recovery of global communication systems from long-term downtime,Systemic Risk,472.3888889,24,26,863,8,220,30,320,30,180,25,1,33,100,36,890,1,550,23,650,5,310,24,950,3,390,24,620,8,500,19,502,27,376,23,496,26,585,34
Emerging technologies and geopolitical instability,Government & Politics,373.6666667,25,27,321,32,310,21,790,6,60,36,100,28,360,22,230,31,560,22,243,21,222,29,4,37,236,31,335,23,500,19,310,32,837,3,467,27,841,11
"ICT infrastructure failures, supply chains, and food security",Systemic Risk,398.7222222,25,27,911,5,270,25,305,31,100,33,150,27,289,28,190,36,501,25,274,19,510,16,278,27,620,11,315,25,501,18,550,24,200,33,391,28,822,13
Extreme positive feedback on global through stratocumulus cloud break up is not reversible through solar geoengineering,Climate Environment & Ecology,422.5555556,26.5,29,682,20,210,31,220,34,360,14,720,8,498,17,510,20,670,16,117,31,150,32,787,10,254,29,470,17,300,34,500,28,109,37,339,32,710,25
The expectation of solar radiation management destroys decarbonisation incentives,Climate Environment & Ecology,376.9444444,26.5,29,158,34,240,29,790,6,420,11,260,23,351,24,435,23,450,33,126,28,105,35,222,28,436,20,250,31,444,27,590,22,329,26,565,22,614,32
Interactions of global catastrophic risks with each other and systemic risk in general,Systemic Risk,410.8888889,27.5,31,913,4,110,34,799,5,150,29,350,20,130,34,200,34,500,26,700,4,150,32,11,34,171,33,180,35,500,19,420,30,650,11,727,15,735,22
Use of inadequate tools for climate risk assessment and adaptation,Climate Environment & Ecology,387.5,27.5,31,507,25,90,36,200,35,570,5,430,18,145,33,215,32,460,32,74,35,555,14,376,23,532,17,200,33,667,9,512,26,300,29,354,31,788,15
Combination of natural and technological disasters,Systemic Risk,415.4444444,28,33,452,28,510,11,789,9,120,31,460,16,489,18,180,37,410,36,223,22,565,13,84,33,241,30,297,29,432,28,647,18,656,9,334,33,589,33
Societal Tipping points as the main mechanism for societal collapse,Society,316.5,30,34,487,26,290,24,200,35,500,9,401,19,102,35,515,19,705,13,120,30,180,30,90,32,310,26,220,32,350,33,260,34,110,36,357,30,500,35
Loss of primary productivity,Climate Environment & Ecology,281.6111111,30.5,35,50,36,270,25,392,27,90,34,240,24,489,18,320,29,470,31,104,32,101,36,124,30,156,34,155,36,496,26,120,37,299,30,325,34,868,7
Collapse of economic growth,Economics,316.5,31,36,480,27,95,35,280,32,170,27,1,33,146,32,195,35,430,34,212,24,170,31,111,31,140,35,320,24,565,16,750,14,187,34,826,9,619,31
Change to a superrotating state of the atmosphere,Climate Environment & Ecology,331.4444444,35,37,858,9,25,37,400,25,50,37,25,32,1,37,780,6,775,10,420,12,100,37,814,8,90,37,50,37,250,36,200,35,135,35,593,21,400,36
